dorsal,nombre,equipo,equipo_folder,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
14,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Midfielder,France,aipyotc87m5bdvmvizd5n69k9,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/aipyotc87m5bdvmvizd5n69k9
17,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Defender,Spain,atj6u4qul0o2ca57etbmes07o,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/atj6u4qul0o2ca57etbmes07o
7,Vinícius Júnior,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Attacker,Brazil,b4witgokm49tidm1a83qcvbop,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/b4witgokm49tidm1a83qcvbop
17,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Defender,Spain,bf2pf3hs8gcvub4ivlve12ymt,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/bf2pf3hs8gcvub4ivlve12ymt
11,Rodrygo,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Attacker,Brazil,broq8imimhtlejtffissquy5m,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/broq8imimhtlejtffissquy5m
47,Dani Meso,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Midfielder,Spain,buzh1oolanqmxdm3bqt1sfqxg,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/buzh1oolanqmxdm3bqt1sfqxg
24,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Defender,Spain,d2hnxi1yi5rgqj1tvxh1813x0,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/d2hnxi1yi5rgqj1tvxh1813x0
,Víctor Muñoz,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Attacker,Spain,d358ce00vstqg3ilinhcc10r8,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/d358ce00vstqg3ilinhcc10r8
,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Midfielder,Croatia,diod1hv5hv7v7z7mfleev1txx,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/diod1hv5hv7v7z7mfleev1txx
33,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Midfielder,Spain,diwvhwul9fvsmpdwosvy8nwus,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/diwvhwul9fvsmpdwosvy8nwus
,Chema Andres,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Midfielder,Spain,e30x514qvzadcryj2zhoss26s,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/e30x514qvzadcryj2zhoss26s
5,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Midfielder,England,e83ula4wockmc2xid7185kcq2,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/e83ula4wockmc2xid7185kcq2
28,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Midfielder,Spain,ecmpznived7xp45o7bm96csno,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/ecmpznived7xp45o7bm96csno
6,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Midfielder,France,en2c7z1raqmcwee78297pbnu2,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/en2c7z1raqmcwee78297pbnu2
19,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Midfielder,Spain,i48mf81fxn2af1xxjzfi8gr9,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/i48mf81fxn2af1xxjzfi8gr9
,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Attacker,Uruguay,osme4gegtnhlldt4lsqf56ac,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/osme4gegtnhlldt4lsqf56ac
